"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",2,"Derran Cannon",1980-04-10,33.3470226,,"United States","Joe Nelson",1988-06-03,25.1991786,76,"United States","Q16","Brandon Talbot",1982-06-01,31.2060233,,"United States","Cullen Irons",1988-04-09,25.3497604,,"United States","Q17","21-13, 21-14","0:42","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",3,"Billy Kolinske",1986-08-06,27.0253251,78,"United States","Mark Burik",1985-08-12,28.0082136,75,"United States","Q9","Arlo Gagestein",1977-08-11,36.0109514,75,"United States","Timothy Cornelissen",1974-10-16,38.8309377,73,"United States","Q24","21-14, 21-14","0:50","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",6,"Ed Lunnen",1977-06-10,36.1806982,76,"United States","Mike Maghy",1987-09-21,25.9000684,74,"United States","Q12","Justin Henderson",1976-07-10,37.0978782,,"United States","Klayson Barlow",,,,"United States","Q21","21-13, 21-16","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",7,"Joe Hillman",1976-06-24,37.1416838,,"United States","Mike Nelson",1982-04-21,31.3182752,75,"United States","Q13","Brad Collins",1971-09-29,41.8781656,,"United States","Kyle Smith",1986-06-19,27.156742,,"United States","Q20","21-11, 25-23","0:48","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",10,"Matthew McCarthy",1986-08-14,27.0034223,80,"United States","Raffe Paulis",1986-05-13,27.2580424,74,"United States","Q14","Casey Adams",1974-08-09,39.0171116,77,"United States","Dave Merrill",1973-05-07,40.2737851,72,"United States","Q19","21-16, 21-18","0:42","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",11,"Matthew Hilling",1993-05-21,20.2354552,77,"United States","Tom Kohler",1987-01-19,26.5708419,75,"United States","Q11","Cade Orvin",1982-09-11,30.9267625,,"United States","Joshua Allen",1983-04-18,30.3271732,75,"United States","Q22","21-9, 21-18","0:33","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",14,"Brad Torsone",1975-01-14,38.5845311,78,"United States","Shane Donohue",1987-07-09,26.1026694,74,"United States","Q10","Glen Horsley",1979-01-27,34.5489391,,"United States","Steve Vail",1970-11-16,42.7460643,76,"United States","Q23","21-17, 21-16","0:52","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",15,"Christopher Austin",1991-07-09,22.1026694,74,"United States","Danko Iordanov",1977-07-16,36.0821355,77,"United States","Q15","Bobby Webb",1979-09-14,33.9192334,72,"United States","Troy Ketterling",1979-04-03,34.3682409,,"United States","Q18","21-14, 21-19","0:46","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",17,"Billy Allen",1981-10-15,31.8329911,74,"United States","Braidy Halverson",1983-03-08,30.4394251,77,"United States","5, Q1","Derran Cannon",1980-04-10,33.3470226,,"United States","Joe Nelson",1988-06-03,25.1991786,76,"United States","Q16","21-18, 21-12","0:32","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",18,"Andrew McGuire",1988-01-27,25.5496235,72,"United States","Jeremy Casebeer",1989-01-03,24.6132786,77,"United States","16, Q8","Billy Kolinske",1986-08-06,27.0253251,78,"United States","Mark Burik",1985-08-12,28.0082136,75,"United States","Q9","21-17, 21-12","0:42","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",19,"Adam Roberts",1976-01-25,37.5550992,73,"United States","Andrei Belov",1984-05-15,29.2511978,77,"Russia","12, Q5","Ed Lunnen",1977-06-10,36.1806982,76,"United States","Mike Maghy",1987-09-21,25.9000684,74,"United States","Q12","21-18, 21-15","0:44","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",20,"Paul Baxter",1972-02-01,41.5359343,77,"United States","Pedro Brazao",1979-11-27,33.7166324,77,"Brazil","11, Q4","Joe Hillman",1976-06-24,37.1416838,,"United States","Mike Nelson",1982-04-21,31.3182752,75,"United States","Q13","21-18, 21-13","0:45","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",21,"Bill Strickland",1980-12-26,32.6351814,81,"United States","Jon Mesko",1977-03-30,36.3778234,78,"United States","10, Q3","Matthew McCarthy",1986-08-14,27.0034223,80,"United States","Raffe Paulis",1986-05-13,27.2580424,74,"United States","Q14","21-15, 21-9","0:33","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",22,"Avery Drost",1986-09-07,26.9377139,77,"United States","Will Montgomery",1990-01-09,23.5975359,74,"United States","13, Q6","Matthew Hilling",1993-05-21,20.2354552,77,"United States","Tom Kohler",1987-01-19,26.5708419,75,"United States","Q11","21-9, 22-20","0:45","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",23,"Jeffrey Carlson",1990-05-26,23.2224504,74,"United States","Joey Dykstra",1987-10-01,25.8726899,77,"United States","14, Q7","Brad Torsone",1975-01-14,38.5845311,78,"United States","Shane Donohue",1987-07-09,26.1026694,74,"United States","Q10","21-17, 21-16","0:54","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",24,"Kevin McColloch",1984-04-19,29.3223819,77,"United States","Steve Grotowski",1982-05-30,31.211499,78,"England","8, Q2","Christopher Austin",1991-07-09,22.1026694,74,"United States","Danko Iordanov",1977-07-16,36.0821355,77,"United States","Q15","21-15, 21-13","0:32","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",1,"Phil Dalhausser",1980-01-26,33.5523614,81,"United States","Sean Rosenthal",1980-06-19,33.155373,76,"United States","1","Andrew McGuire",1988-01-27,25.5496235,72,"United States","Jeremy Casebeer",1989-01-03,24.6132786,77,"United States","16, Q8","21-7, 21-15","0:34","Winner's Bracket","Round 1",8,6,2,0.5,5,2,6,2,16,10,4,0.375,2,1,1,3,26,5,4,0.038,0,1,0,1,16,8,8,0,0,6,4,1
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",2,"Nick Lucena",1979-09-22,33.8973306,73,"United States","Theo Brunner",1985-03-17,28.4134155,79,"United States","9","Kevin McColloch",1984-04-19,29.3223819,77,"United States","Steve Grotowski",1982-05-30,31.211499,78,"England","8, Q2","21-18, 21-16","0:37","Winner's Bracket","Round 1",22,12,6,0.273,3,1,0,6,17,13,2,0.647,0,1,3,0,13,8,2,0.462,0,4,2,4,26,16,4,0.462,0,4,0,0
"AVP","Salt Lake City","United States",2013,2013-08-15,"M",3,"Adam Roberts",1976-01-25,37.5550992,73,"United States","Andrei Belov",1984-05-15,29.2511978,77,"Russia","12, Q5","Billy Allen",1981-10-15,31.8329911,74,"United States","Braidy Halverson",1983-03-08,30.4394251,77,"United States","5, Q1","21-16, 20-22, 15-11","0:56","Winner's Bracket","Round 1",40,20,8,0.3,0,0,0,10,20,16,4,0.6,5,9,4,0,8,4,2,0.25,2,0,2,5,43,21,11,0.233,1,2,4,7
